SONDA;VALOR;TIMESTAMP
SondaORP;11/08/2017-23:30:52;1019.7
SondaPH;11/08/2017-23:30:53;0.000
SondaTemp;11/08/2017-23:40:51;26.320
SondaORP;11/08/2017-23:40:52;1020.0
SondaPH;11/08/2017-23:40:53;0.000
SondaTemp;11/08/2017-23:50:51;26.335
SondaORP;11/08/2017-23:50:52;1018.6
SondaPH;11/08/2017-23:50:53;0.000
SondaTemp;12/08/2017-00:00:51;26.599
SondaORP;12/08/2017-00:00:52;1018.4
SondaPH;12/08/2017-00:00:53;0.000
SondaTemp;12/08/2017-00:10:51;26.625
SondaORP;12/08/2017-00:10:52;1018.7
SondaPH;12/08/2017-00:10:53;0.000
SondaTemp;12/08/2017-00:20:51;26.801
SondaORP;12/08/2017-00:20:52;1019.0
SondaPH;12/08/2017-00:20:53;0.000
SondaTemp;12/08/2017-00:30:51;26.816
SondaORP;12/08/2017-00:30:52;1018.8
SondaPH;12/08/2017-00:30:53;0.000
SondaTemp;12/08/2017-00:40:51;26.837
SondaORP;12/08/2017-00:40:52;1018.8
SondaPH;12/08/2017-00:40:53;0.000
SondaTemp;12/08/2017-00:50:51;26.849
SondaORP;12/08/2017-00:50:52;1018.7
SondaPH;12/08/2017-00:50:53;0.000
SondaTemp;12/08/2017-01:00:51;26.857
SondaORP;12/08/2017-01:00:52;1019.3
SondaPH;12/08/2017-01:00:53;0.000
SondaTemp;12/08/2017-01:10:51;26.869
SondaORP;12/08/2017-01:10:52;1018.5
SondaPH;12/08/2017-01:10:53;0.000
SondaTemp;12/08/2017-01:20:51;26.891
SondaORP;12/08/2017-01:20:52;1018.7
SondaPH;12/08/2017-01:20:53;0.000
SondaTemp;12/08/2017-01:30:51;26.903
SondaORP;12/08/2017-01:30:52;1019.2
SondaPH;12/08/2017-01:30:53;0.000
SondaTemp;12/08/2017-01:40:51;26.915
SondaORP;12/08/2017-01:40:52;1018.5
SondaPH;12/08/2017-01:40:53;0.000
SondaTemp;12/08/2017-01:50:51;26.926
SondaORP;12/08/2017-01:50:52;1019.6
SondaPH;12/08/2017-01:50:53;0.000
SondaTemp;12/08/2017-02:00:51;26.928
SondaORP;12/08/2017-02:00:52;1019.4
SondaPH;12/08/2017-02:00:53;0.000
SondaTemp;12/08/2017-02:10:51;26.923
SondaORP;12/08/2017-02:10:52;1018.5
SondaPH;12/08/2017-02:10:53;0.000
SondaTemp;12/08/2017-02:20:51;26.921
SondaORP;12/08/2017-02:20:52;1018.7
SondaPH;12/08/2017-02:20:53;0.000
SondaTemp;12/08/2017-02:30:51;26.921
SondaORP;12/08/2017-02:30:52;1018.7
SondaPH;12/08/2017-02:30:53;0.000
SondaTemp;12/08/2017-02:40:51;26.922
SondaORP;12/08/2017-02:40:52;1018.8
SondaPH;12/08/2017-02:40:53;0.000
SondaTemp;12/08/2017-02:50:51;26.915
SondaORP;12/08/2017-02:50:52;1018.4
SondaPH;12/08/2017-02:50:53;0.000
SondaTemp;12/08/2017-03:00:51;26.895
SondaORP;12/08/2017-03:00:52;1018.9
SondaPH;12/08/2017-03:00:53;0.000
SondaTemp;12/08/2017-03:10:51;26.883
SondaORP;12/08/2017-03:10:52;1019.8
SondaPH;12/08/2017-03:10:53;0.000
SondaTemp;12/08/2017-03:20:51;26.858
SondaORP;12/08/2017-03:20:52;1019.5
SondaPH;12/08/2017-03:20:53;0.000
SondaTemp;12/08/2017-03:30:51;26.847
SondaORP;12/08/2017-03:30:52;1018.6
SondaPH;12/08/2017-03:30:53;0.000
SondaTemp;12/08/2017-03:40:51;26.697
SondaORP;12/08/2017-03:40:52;1019.3
SondaPH;12/08/2017-03:40:53;0.000
SondaTemp;12/08/2017-03:50:51;26.393
SondaORP;12/08/2017-03:50:52;979.6
SondaPH;12/08/2017-03:50:53;0.000
SondaTemp;12/08/2017-04:00:51;26.537
SondaORP;12/08/2017-04:00:52;1012.3
SondaPH;12/08/2017-04:00:53;0.000
SondaTemp;12/08/2017-04:10:51;26.550
SondaORP;12/08/2017-04:10:52;1019.1
SondaPH;12/08/2017-04:10:53;0.000
SondaTemp;12/08/2017-04:20:51;26.574
SondaORP;12/08/2017-04:20:52;1019.1
SondaPH;12/08/2017-04:20:53;0.000
SondaTemp;12/08/2017-04:30:51;26.592
SondaORP;12/08/2017-04:30:52;1019.0
SondaPH;12/08/2017-04:30:53;0.000
SondaTemp;12/08/2017-04:40:51;26.582
SondaORP;12/08/2017-04:40:52;1016.4
SondaPH;12/08/2017-04:40:53;0.000
SondaTemp;12/08/2017-04:50:51;26.570
SondaORP;12/08/2017-04:50:52;1014.6
SondaPH;12/08/2017-04:50:53;0.000
SondaTemp;12/08/2017-05:00:51;26.575
SondaORP;12/08/2017-05:00:52;1018.5
SondaPH;12/08/2017-05:00:53;0.000
SondaTemp;12/08/2017-05:10:51;26.585
SondaORP;12/08/2017-05:10:52;1018.6
SondaPH;12/08/2017-05:10:53;0.000
SondaTemp;12/08/2017-05:20:51;26.596
SondaORP;12/08/2017-05:20:52;1018.9
SondaPH;12/08/2017-05:20:53;0.000
SondaTemp;12/08/2017-05:30:51;26.612
SondaORP;12/08/2017-05:30:52;1019.6
SondaPH;12/08/2017-05:30:53;0.000
SondaTemp;12/08/2017-05:40:51;26.632
SondaORP;12/08/2017-05:40:52;1018.8
SondaPH;12/08/2017-05:40:53;0.000
SondaTemp;12/08/2017-05:50:51;26.643
SondaORP;12/08/2017-05:50:52;1019.1
SondaPH;12/08/2017-05:50:53;0.000
SondaTemp;12/08/2017-06:00:51;26.651
SondaORP;12/08/2017-06:00:52;1019.1
SondaPH;12/08/2017-06:00:53;0.000
SondaTemp;12/08/2017-06:10:51;26.650
SondaORP;12/08/2017-06:10:52;1019.2
SondaPH;12/08/2017-06:10:53;0.000
SondaTemp;12/08/2017-06:20:51;26.634
SondaORP;12/08/2017-06:20:52;1018.5
SondaPH;12/08/2017-06:20:53;0.000
SondaTemp;12/08/2017-06:30:51;26.621
SondaORP;12/08/2017-06:30:52;1019.7
SondaPH;12/08/2017-06:30:53;0.000
SondaTemp;12/08/2017-06:40:51;26.613
SondaORP;12/08/2017-06:40:52;1019.3
SondaPH;12/08/2017-06:40:53;0.000
SondaTemp;12/08/2017-06:50:51;26.605
SondaORP;12/08/2017-06:50:52;1018.3
SondaPH;12/08/2017-06:50:53;0.000
SondaTemp;12/08/2017-07:00:51;26.602
SondaORP;12/08/2017-07:00:52;1018.7
SondaPH;12/08/2017-07:00:53;0.000
SondaTemp;12/08/2017-07:10:51;26.602
SondaORP;12/08/2017-07:10:52;1019.3
SondaPH;12/08/2017-07:10:53;0.000
SondaTemp;12/08/2017-07:20:51;26.595
SondaORP;12/08/2017-07:20:52;1019.0
SondaPH;12/08/2017-07:20:53;0.000
SondaTemp;12/08/2017-07:30:51;26.589
SondaORP;12/08/2017-07:30:52;1019.0
SondaPH;12/08/2017-07:30:53;0.000
SondaTemp;12/08/2017-07:40:51;26.566
SondaORP;12/08/2017-07:40:52;1010.4
SondaPH;12/08/2017-07:40:53;0.000
SondaTemp;12/08/2017-07:50:51;26.547
SondaORP;12/08/2017-07:50:52;1003.8
SondaPH;12/08/2017-07:50:53;0.000
SondaTemp;12/08/2017-08:00:51;26.538
SondaORP;12/08/2017-08:00:52;1006.7
SondaPH;12/08/2017-08:00:53;0.000
SondaTemp;12/08/2017-08:10:51;26.542
SondaORP;12/08/2017-08:10:52;1019.8
SondaPH;12/08/2017-08:10:53;0.000
SondaTemp;12/08/2017-08:20:51;26.557
SondaORP;12/08/2017-08:20:52;1019.3
SondaPH;12/08/2017-08:20:53;0.000
SondaTemp;12/08/2017-08:30:51;26.578
